,original,synonyms
1,Brutus,backstabber
0,Bud,bloom
1,Bud,blossom
0,Burgundy,cardinal
1,Burgundy,coral
0,Bushman,
1,Bushman,aborigine
0,Butler,man
1,Butler,manservant
0,Byzantine,daedal
1,Byzantine,complicated
0,C,corruption
1,C,disease
0,Cadet,student
1,Cadet,youth
0,Caesar,despot
1,Caesar,fascist
0,Caesarean,C-section
1,Caesarean,Cesarean section
0,Caesarian,C-section
1,Caesarian,Cesarean section
0,California,Bear Flag State
1,California,Cal
0,Calliope,church organ
1,Calliope,organ
0,Calvary,agony
1,Calvary,anguish
0,Cambric,bedding
1,Cambric,cloth
0,Came,arose
1,Came,
0,Canaan,Promised Land
1,Canaan,immortality
0,Canicula,Sirius
1,Canicula,Sothis
0,Cannabis,bhang
1,Cannabis,hashish
0,Canton,billet
1,Canton,corner
0,Cape,arm
1,Cape,beak
0,Capitol,center
1,Capitol,dome
0,Capricorn,Aquarius
1,Capricorn,Aries
0,Capuchin,babushka
1,Capuchin,bonnet
0,Carmine,cherry
1,Carmine,color
0,Carol,Noel
1,Carol,ballad
0,Caroling,belt out
1,Caroling,chant
0,Carry,bear
1,Carry,bring
0,Cary,crater
1,Cary,armpit
0,Case,bag
1,Case,baggage
0,Cashmere,fleece
1,Cashmere,fur
0,Cassandra,worrywart
1,Cassandra,doomsayer
0,Cat,kitten
1,Cat,kitty
0,Catalan,Continental
1,Catalan,French
0,Catty,rancorous
1,Catty,spiteful
0,Cayuse,crib
1,Cayuse,glass
0,Celluloid,cinema
1,Celluloid,feature
0,Centrales,average
1,Centrales,center
0,Cerberus,curator
1,Cerberus,keeper
0,Cete,beluga
1,Cete,dolphin
0,Chablis,Gewurztraminer
1,Chablis,Liebfraumilch
0,Charleston,disco
1,Charleston,samba
0,Chateau,castle
1,Chateau,estate
0,Chin,button
1,Chin,jaw
0,Chink,crevice
1,Chink,fissure
0,Chinook,cyclone
1,Chinook,hurricane
0,Chip,slice
1,Chip,wafer
0,Choctaw,Greek
1,Choctaw,babble
0,Chou,cannoli
1,Chou,cream horn
0,Christ,Good Shepherd
1,Christ,Jesus
0,Christian,God-fearing
1,Christian,faithful
0,Christmas,Christmastide
1,Christmas,Noel
0,Christmastide,Noel
1,Christmastide,Xmas
0,Chuck,abandon
1,Chuck,can
0,Ciceronianism,grandeur
1,Ciceronianism,Hellenism
0,Cimmerian,black
1,Cimmerian,cloudy
0,Clay,brick
1,Clay,earth
0,Clement,balmy
1,Clement,clear
0,Cliff,bluff
1,Cliff,crag
0,Cockaigne,Cloudcuckooland
1,Cockaigne,Fiddler's Green
0,Cola,soda
1,Cola,soda pop
0,Cole,cabbage
1,Cole,colewort
0,Coliseum,amphitheater
1,Coliseum,bowl
0,Cologne,fragrance
1,Cologne,perfume
0,Colt,filly
1,Colt,foal
0,Columbia,America
1,Columbia,Land of Liberty
0,Concord,accord
1,Concord,agreement
0,Congreve,Congreve match
1,Congreve,Vesta
0,Coos,murmur
1,Coos,sound
0,Corey,center
1,Corey,crux
0,Corinthian,cosmopolitan
1,Corinthian,playboy
0,Corybantic,delighted
1,Corybantic,ecstatic
0,Coventry,boycott
1,Coventry,discharge
0,Credo,creed
1,Credo,philosophy
0,Creek,brook
1,Creek,brooklet
0,Crispin,cobbler
1,Crispin,cordwainer
0,Croaker,toad
1,Croaker,bullfrog
0,Curt,blunt
1,Curt,brusque
0,Curtana,blade
1,Curtana,dagger
0,Cyclopean,Brobdignagian
1,Cyclopean,Bunyanesque
0,Cyclopes,Gargantua
1,Cyclopes,Hercules
0,Cyclops,Gargantua
1,Cyclops,Hercules
0,Cyprian,debauchee
1,Cyprian,lecher
0,Dactyl,appendage
1,Dactyl,digit
0,Daedal,complicated
1,Daedal,convoluted
0,Daedalean,complicated
1,Daedalean,convoluted
0,Daedalian,byzantine
1,Daedalian,circuitous
0,Dahlia,cardinal
1,Dahlia,coral
0,Dale,dell
1,Dale,dingle
0,Daltonism,achromatic vision
1,Daltonism,achromatopsia
0,Danish,bread
1,Danish,doughnut
0,Dares,cartel
1,Dares,defy
0,Darwinism,Darwinian theory
1,Darwinism,adaptation
0,Dawn,dawning
1,Dawn,daybreak
0,Dean,administrator
1,Dean,legislator
0,Deb,teenage girl
1,Deb,young girl
0,Decalogue,Law of Moses
1,Decalogue,Mosaic Law
0,Deepfreeze,arctic frost
1,Deepfreeze,big freeze
0,Delicious,appetizing
1,Delicious,delectable
0,Delilah,enchantress
1,Delilah,jezebel
0,Delphian,ambiguous
1,Delphian,arcane
0,Delta,alluvium
1,Delta,deposition
0,Demon,monster
1,Demon,vampire
0,Dene,dell
1,Dene,dingle
0,Derrick,hoist
1,Derrick,lift
0,Dexter,benevolent
1,Dexter,encouraging
0,Diaspora,exodus
1,Diaspora,disbandment
0,Dick,agent
1,Dick,informer
0,Dido,antic
1,Dido,caper
0,Dike,barrier
1,Dike,ditch
0,Dirk,bayonet
1,Dirk,blade
0,discumber,detach
1,discumber,disengage
0,disencumber,alleviate
1,disencumber,disengage
0,Don,dress
1,Don,put on
0,Doric,classic
1,Doric,humanistic
0,Dory,raft
1,Dory,ark
0,Dot,dab
1,Dot,droplet
0,Dotty,absurd
1,Dotty,daft
0,Douglas,cedar
1,Douglas,pine
0,Downing,absorb
1,Downing,consume
0,Draconian,cruel
1,Draconian,drastic
0,Drew,attract
1,Drew,bring
0,Duchess,female
1,Duchess,girl
0,Duke,aristocrat
1,Duke,baron
0,Dunker,bun
1,Dunker,pastry
0,Duns,annoy
1,Duns,bother
0,Dutch,Catch-22
1,Dutch,asperity
0,Earl,aristocrat
1,Earl,baron
0,earl,aristocrat
1,earl,baron
0,Eddy,whirlpool
1,Eddy,swirl
0,Eden,Arcadia
1,Eden,Shangri-la
0,Elysian,angelic
1,Elysian,divine
0,Elysium,Fat City
1,Elysium,affluence
0,Emerita,elderly
1,Emerita,resigned
0,Emmanuel,Christ
1,Emmanuel,God the Son
0,Empire,authority
1,Empire,command
0,Ephemera,caller
1,Ephemera,client
0,Epicurean,gourmet
1,Epicurean,libertine
0,Epicureanism,debauchery
1,Epicureanism,enjoyment
0,Epiphany,flash
1,Epiphany,insight
0,Episcopal,ecclesiastical
1,Episcopal,ministerial
0,Escalator,moving stairway
1,Escalator,people mover
0,Esperanto,American Sign Language
1,Esperanto,Ameslan
0,Eucharist,Sacrament
1,Eucharist,communion
0,Euglena,ameba
1,Euglena,amoeba
0,Eve,brink
1,Eve,night
0,Everyman,anybody
1,Everyman,everybody
0,Exchequer,fund
1,Exchequer,stock
0,exchequer,fund
1,exchequer,stock
0,Fabianism,communism
1,Fabianism,Bolshevism
0,Fan,blade
1,Fan,draft
0,Fanfare,pomp
1,Fanfare,alarum
0,Fanny,ass
1,Fanny,posterior
0,Fauna,Animalia
1,Fauna,animal group
0,Fay,brownie
1,Fay,fairy
0,Federal,amalgamated
1,Federal,associated
0,Fedora,headgear
1,Fedora,helmet
0,Fiber,grain
1,Fiber,thread
0,fiber,grain
1,fiber,thread
0,Fido,pup
1,Fido,puppy
0,Fife,blare
1,Fife,hiss
0,Fin,appendage
1,Fin,flipper
0,Fletcherism,bite
1,Fletcherism,chewing
0,Flora,vegetation
1,Flora,plants
0,Foist,impose
1,Foist,compel to accept
0,Foster,advance
1,Foster,back
0,Frank,blunt
1,Frank,bold
0,Frankenstein,behemoth
1,Frankenstein,freak
0,Fred,X
1,Fred,bar
0,French,Catalan
1,French,Continental
0,Fuchsia,blush
1,Fuchsia,coral
0,Fur,coat
1,Fur,jacket
0,Furies,acrimony
1,Furies,energy
0,G,confinement
1,G,jail
0,Gad,cruise
1,Gad,gallivant
0,Gaia,atmosphere
1,Gaia,ecosystem
0,Gale,cyclone
1,Gale,hurricane
0,Galleria,bazaar
1,Galleria,boutique
0,Gargantua,Hercules
1,Gargantua,Samson
0,Gargantuan,colossal
1,Gargantuan,enormous
0,Garret,cockloft
1,Garret,loft
0,Gascon,boaster
1,Gascon,windbag
