,original,synonyms
0,divers,manifold
1,divers,myriad
0,doggy,classy
1,doggy,dashing
0,dogs,hoof
1,dogs,hooves
0,doings,acts
1,doings,affairs
0,doldrums,gloom
1,doldrums,malaise
0,dolmen,Vandyke
1,dolmen,capote
0,dooms,calamity
1,dooms,cataclysm
0,doublets,set
1,doublets,team
0,downstairs,basement
1,downstairs,canvas
0,dramatics,acting
1,dramatics,drama
0,draughts,bowl
1,draughts,drink
0,drawers,bloomers
1,drawers,panties
0,dynamics,act
1,dynamics,gesture
0,earnings,bottom line
1,earnings,gain
0,eats,grub
1,eats,chow
0,ecclesiastics,priesthood
1,ecclesiastics,cardinalate
0,economics,business
1,economics,finance
0,edgeways,oblique
1,edgeways,crabwise
0,eerie,bizarre
1,eerie,creepy
0,effects,accouterments
1,effects,chattels
0,electronics,VCRs
1,electronics,camcorders
0,els,elevated railway
1,els,overhead railway
0,elseways,differently
1,elseways,any other way
0,empirics,con artist
1,empirics,hypocrite
0,energumen,aficionados
1,energumen,extremists
0,entrails,insides
1,entrails,bowels
0,environs,suburb
1,environs,surroundings
0,errata,correction
1,errata,corrigenda
0,ers,emergency
1,ers,ICU
0,ethics,belief
1,ethics,conduct
0,eugenics,ancestry
1,eugenics,constitution
0,evens,alike
1,evens,balanced
0,everywheres,anywhere
1,everywheres,all over
0,executrices,administrator
1,executrices,agent
0,exegetics,exploration
1,exegetics,interpretation
0,externals,coating
1,externals,facade
0,faints,delicate
1,faints,dim
0,farrago,mishmash
1,farrago,olio
0,fauces,esophagus
1,fauces,larynx
0,feces,dung
1,feces,excrement
0,filings,filing
1,filings,administration
0,fils,boy
1,fils,child
0,firedog,dog
1,firedog,dog iron
0,fitters,designer
1,fitters,fitter
0,fives,quintuple
1,fives,pentagonal
0,flannels,thermal underwear
1,flannels,thermals
0,fleecy,woolly
1,fleecy,floccose
0,floristics,anatomy
1,floristics,cytology
0,footings,foothold
1,footings,basement
0,footlights,comedy
1,footlights,farce
0,foramen,break
1,foramen,crack
0,forceps,pliers
1,forceps,tongs
0,forcipes,pliers
1,forcipes,tongs
0,forwards,advanced
1,forwards,along
0,funds,affluence
1,funds,assets
0,fungus,affliction
1,fungus,canker
0,funnel,channel
1,funnel,filter
0,gadfly,motivator
1,gadfly,annoyance
0,gains,cash
1,gains,compensation
0,gantries,booth
1,gantries,platform
0,gapes,glare
1,gapes,gloat
0,garnets,cardinal
1,garnets,coral
0,gashes,cleft
1,gashes,furrow
0,genetics,analysis
1,genetics,biology
0,genitals,genitalia
1,genitals,gonads
0,geopolitics,earth science
1,geopolitics,geology
0,geoponics,agriculture
1,geoponics,breeding
0,geriatrics,infirmity
1,geriatrics,advancing years
0,ghetti,public squalor
1,ghetti,rundown section of a city
0,giblets,brains
1,giblets,chitlins
0,glasses,bifocals
1,glasses,blinkers
0,goods,equipment
1,goods,furnishings
0,graphics,artwork
1,graphics,computer graphics
0,grapnel,mainstay
1,grapnel,ballast
0,gravamen,basic
1,gravamen,bosom
0,graveclothes,cloak
1,graveclothes,pall
0,grits,aliment
1,grits,bite
0,groovy,fabulous
1,groovy,far-out
0,grounds,acreage
1,grounds,area
0,grouts,deposit
1,grouts,dregs
0,grovelings,belittling
1,grovelings,cheating
0,grubs,maggot
1,grubs,worm
0,gunnies,bag
1,gunnies,cloth
0,gymnastics,aerobatics
1,gymnastics,bars
0,gynics,effeminate
1,gynics,effete
0,halieutics,angling
1,halieutics,fishery
0,harmonics,arrangement
1,harmonics,chord
0,harpings,belaboring
1,harpings,dwelling
0,haruspices,augur
1,haruspices,diviner
0,heaps,enough
1,heaps,full
0,hearts,character
1,hearts,feeling
0,heavies,advantage
1,heavies,edge
0,helices,braid
1,helices,tendril
0,hemen,macho
1,hemen,male
0,hermeneutics,exploration
1,hermeneutics,interpretation
0,hers,his
1,hers,its
0,hookers,prostitute
1,hookers,bawd
0,hoppers,activity
1,hoppers,deal
0,housefurnishings,furnishings
1,housefurnishings,furnishments
0,hunkers,bend
1,hunkers,bow
0,hunks,gob
1,hunks,lump
0,hydroponics,agriculture
1,hydroponics,breeding
0,hygienics,sanitation
1,hygienics,regimen
0,hypotheses,assumption
1,hypotheses,axiom
0,hysterics,agitation
1,hysterics,delirium
0,imagines,brainstorm
1,imagines,conceptualize
0,indecorum,barbarism
1,indecorum,blunder
0,indices,indicator
1,indices,ratio
0,indoors,in a building
1,indoors,in a house
0,inks,caffeine
1,inks,cappuccino
0,internals,belly
1,internals,bosom
0,irenics,dove of peace
1,irenics,expiatory offering
0,italics,font
1,italics,agate
0,jackanapes,punk
1,jackanapes,rascal
0,jakes,acceptable
1,jakes,excellent
0,jiggers,apparatus
1,jiggers,appliance
0,jitters,anxiety
1,jitters,dither
0,jodhpurs,knickers
1,jodhpurs,shorts
0,kelpie,demon
1,kelpie,devil
0,kinesics,gesture
1,kinesics,body movement
0,kinetics,act
1,kinetics,gesture
0,kleptomaniac,criminal
1,kleptomaniac,pilferer
0,knickers,shorts
1,knickers,slacks
0,kudos,applause
1,kudos,PR
