,original,synonyms
0,blushing,embarrassed
1,blushing,flushed
0,blustering,blowing
1,blustering,blustery
0,boasting,braggadocio
1,boasting,gasconade
0,boating,rowing
1,boating,sailing
0,bobbing,perpendicular
1,bobbing,seesaw
0,boding,auspice
1,boding,forerunner
0,boiling,baking
1,boiling,fiery
0,bolting,fastener
1,bolting,latch
0,bonding,bind
1,bonding,connect
0,booking,gig
1,booking,performance date
0,bookkeeping,recording
1,bookkeeping,auditing
0,booming,growing
1,booming,profitable
0,bootlegging,piracy
1,bootlegging,smuggling
0,bordering,adjacent
1,bordering,adjoining
0,boring,dull
1,boring,humdrum
0,borning,bear
1,borning,dispense
0,borrowing,financing
1,borrowing,renting
0,bossing,capital
1,bossing,champion
0,bottling,conserving
1,bottling,keeping
0,bouldering,mountaineering
1,bouldering,rock climbing
0,bouncing,bouncy
1,bouncing,bulgy
0,bounding,adjacent
1,bounding,adjoining
0,bowing,arching
1,bowing,curving
0,boxing,battle
1,boxing,mill
0,bracing,invigorating
1,bracing,refreshing
0,bracketing,accompany
1,bracketing,marry
0,bragging,aloof
1,bragging,bossy
0,braiding,pigtail
1,braiding,ponytail
0,brainwashing,conditioning
1,brainwashing,influencing
0,branching,angled
1,branching,bifurcate
0,braving,confront
1,braving,defy
0,brawling,clamorous
1,brawling,loud
0,breaking,collapsing
1,breaking,cracking
0,breastfeeding,nourish
1,breastfeeding,nurture
0,breathing,respiratory
1,breathing,gasping
0,brewing,astir
1,brewing,cooking
0,bricking,brick
1,bricking,cobblestone
0,bridging,associating
1,bridging,attaching
0,bridling,constrain
1,bridling,control
0,briefing,conference
1,briefing,discussion
0,brightening,cockcrow
1,brightening,crack of dawn
0,bring,bear
1,bring,carry
0,broiling,baking
1,broiling,burning
0,bronzing,anodize
1,bronzing,bronze
0,brooding,discouraged
1,brooding,forlorn
0,browning,baking
1,browning,boiling
0,browsing,e-commerce
1,browsing,spending
0,bruising,able-bodied
1,bruising,athletic
0,brushing,purification
1,brushing,sanitation
0,bubbling,carbonated
1,bubbling,ebullient
0,bucking,conflict
1,bucking,difference
0,budding,burgeoning
1,budding,fledgling
0,buffing,blonde
1,buffing,canary
0,bulling,deceive
1,bulling,mislead
0,bullying,imperious
1,bullying,blustering
0,bullyragging,annoy
1,bullyragging,antagonize
0,bumming,leeching
1,bumming,
0,bumping,bang
1,bumping,bounce
0,bungling,amateurish
1,bungling,awkward
0,bunting,streamer
1,bunting,color
0,burning,fiery
1,burning,flaming
0,burnishing,buff
1,burnishing,furbish
0,burring,boycott
1,burring,disregard
0,burying,funeral
1,burying,interment
0,bushing,dressing
1,bushing,layer
0,bushwhacking,assault
1,bushwhacking,attack
0,bustling,alive
1,bustling,effective
0,busying,attend
1,busying,employ
0,butchering,bloodshed
1,butchering,butchery
0,buzzing,brisk
1,buzzing,bustling
0,cabling,bind
1,cabling,crochet
0,cajoling,candied
1,cajoling,flattering
0,calculating,canny
1,calculating,considerate
0,calling,art
1,calling,business
0,canning,bottling
1,canning,conserving
0,canoeing,rowing
1,canoeing,sailing
0,canting,dishonest
1,canting,insincere
0,capering,escapade
1,capering,gag
0,capping,eventual
1,capping,closing
0,captivating,arresting
1,captivating,engrossing
0,carding,announce
1,carding,argue
0,careering,assail
1,careering,batter
0,caressing,bland
1,caressing,comfortable
0,caretaking,affectionate
1,caretaking,careful
0,carking,demanding
1,carking,difficult
0,carousing,celebration
1,carousing,dinner
0,carpentering,assemble
1,carpentering,erect
0,carpeting,rug
1,carpeting,tapestry
0,carping,bellyaching
1,carping,caviling
0,carrying,childbearing
1,carrying,expectant
0,carving,design
1,carving,painting
0,casing,skin
1,casing,wrapper
0,casting,ejection
1,casting,expulsion
0,castling,change
1,castling,commerce
0,catching,endemic
1,catching,epidemic
0,caterwauling,bitter
1,caterwauling,bleak
0,catting,bore
1,catting,bulldoze
0,causing,at the bottom of
1,causing,concerning the circumstances
0,caviling,acrimonious
1,caviling,cantankerous
0,centering,absorption
1,centering,combination
0,chaffing,arrogant
1,chaffing,caustic
0,chambering,harbor
1,chambering,hide
0,changeling,backup
1,changeling,replacement
0,channeling,carry
1,channeling,convey
0,chanting,carol
1,chanting,crooning
0,charging,grumbling
1,charging,protesting
0,charming,absorbing
1,charming,alluring
0,charting,aligning
1,charting,banding
0,chasing,etching
1,chasing,illustration
0,chattering,chatty
1,chattering,effusive
0,chatting,chatter
1,chatting,go on
0,cheating,deceiving
1,cheating,deception
0,cheering,comforting
1,cheering,heartening
0,cherishing,attending
1,cherishing,fostering
0,chiding,accusatory
1,chiding,captious
0,childbearing,fertile
1,childbearing,fruitful
0,childing,abundant
1,childing,arable
0,chilling,eerie
1,chilling,horrifying
0,chinking,crevice
1,chinking,fissure
0,chipping,chop
1,chipping,crack
0,chirping,trill
1,chirping,warble
0,chitterling,brains
1,chitterling,chitlins
0,choking,asthmatic
1,choking,blown
0,chopping,cleave
1,chopping,cube
0,christening,ablution
1,christening,debut
0,chucking,abandon
1,chucking,can
0,churchgoing,devout
1,churchgoing,pious
0,churning,disturbance
1,churning,turbulence
0,circling,oblique
1,circling,round
0,cladding,covering
1,cladding,facing
0,clamming,cut off
1,clamming,gag
0,clanking,bang
1,clanking,bong
0,clapping,acclamation
1,clapping,applause
0,clasping,clamp
1,clasping,clutch
0,cleaning,purification
1,cleaning,sanitation
0,cleansing,cleaning
1,cleansing,purgative
0,cleaving,hew
1,cleaving,sunder
0,climbing,ascending
1,climbing,mounting
0,cling,adhere
1,cling,clasp
0,clinking,discordant
1,clinking,noisy
0,clipping,cutting
1,clipping,part
0,cloaking,camouflage
1,cloaking,mantle
0,clodhopping,barbaric
1,clodhopping,churlish
0,clouding,darkness
1,clouding,fog
0,cloying,gooey
1,cloying,saccharine
0,clubbing,business
1,clubbing,staff
0,clustering,absorption
1,clustering,combination
0,coaching,culture
1,coaching,discipline
0,coasting,cruise
1,coasting,drift
0,coating,blanket
1,coating,coat
0,coaxing,bland
1,coaxing,slick
0,cobbing,beat
1,cobbing,clinch
0,cobbling,assemble
1,cobbling,complete
0,cockcrowing,dawning
1,cockcrowing,daybreak
0,cocking,capon
1,cocking,chicken
0,cockling,bivalve
1,cockling,mollusk
0,coiling,artful
1,coiling,circuitous
0,coining,
1,coining,
0,colling,clamp
1,colling,clutch
0,coloring,complexion
1,coloring,shading
0,combing,straighten
1,combing,adjust
0,combining,connecting
1,combining,linking
0,comforting,encouraging
1,comforting,reassuring
0,coming,anticipated
1,coming,expected
0,commanding,assertive
1,commanding,compelling
0,communicating,advertise
1,communicating,broadcast
0,commuting,itinerant
1,commuting,roving
0,compassing,ambit
1,compassing,area
0,compelling,fascinating
1,compelling,constraining
0,compensating,adjusting
1,compensating,atoning
0,compounding,amplification
1,compounding,addition
0,compromising,delicate
1,compromising,difficult
0,concerning,regarding
1,concerning,respecting
0,conciliating,appease
1,conciliating,pacify
0,concluding,closing
1,concluding,terminating
0,concurring,affirmatory
1,concurring,approving
0,condemning,accusatory
1,condemning,captious
0,condescending,arrogant
1,condescending,highfalutin
0,condoling,compassionate
1,condoling,sympathizing
0,conducing,advance
1,conducing,aid
0,confessing,acknowledge
1,confessing,assert
0,confiding,affectionate
1,confiding,ardent
0,confining,bounding
1,confining,detaining
0,confirming,affirmatory
1,confirming,approving
0,conflicting,adverse
1,conflicting,antagonistic
0,confounding,astonishing
1,confounding,breathtaking
0,conning,bill of goods
1,conning,con
0,conquering,dominating
1,conquering,winning
0,consenting,agreeable
1,consenting,biddable
0,considering,seeing
1,considering,all in all
0,consoling,encouraging
1,consoling,reassuring
0,conspiring,Machiavellian
1,conspiring,conniving
0,constraining,fascinating
1,constraining,coercive
0,consulting,consultative
1,consulting,advising
0,consuming,engrossing
1,consuming,exhausting
0,contemning,disdain
1,contemning,hate
0,contending,alienated
1,contending,belligerent
0,converging,anticipated
1,converging,expected
0,converting,apply
1,converting,download
0,cooing,murmur
1,cooing,sound
0,cooking,baking
1,cooking,boiling
0,cooling,bracing
1,cooling,exhilarating
0,coping,bed
1,coping,blanket
0,copping,bust
1,copping,capture
0,cording,covering
1,cording,cushioning
0,corking,bar
1,corking,curb
0,correcting,developing
1,correcting,bettering
0,corresponding,analogous
1,corresponding,comparable
0,corroding,acerbic
1,corroding,acrid
0,corrupting,noxious
1,corrupting,pernicious
0,costing,estimated
1,costing,worth
0,costuming,deck out
1,costuming,accoutre
0,couching,bed
1,couching,chair
0,counteracting,curative
1,counteracting,disciplinary
0,coupling,pairing
1,coupling,blend
0,coursing,exploration
1,coursing,hunting
0,covenanting,compact
1,covenanting,convention
0,covering,cover
1,covering,housing
0,coveting,distrustful
1,coveting,greedy
0,cozening,chicanery
1,cozening,deception
0,crabbing,bellyacher
1,crabbing,complainer
0,cracking,collapsing
1,cracking,crumbling
0,crackling,chewy
1,crackling,crisp
0,cradling,lull
1,cradling,nestle
0,craving,appetite
1,craving,hankering
0,crawling,dragging
1,crawling,moving slowly
0,creasing,bend
1,creasing,bulge
0,creeping,dragging
1,creeping,crawling
0,cresting,climax
1,cresting,crest
0,cribbing,falsification
1,cribbing,infringement
0,crimping,coil
1,crimping,crease
0,cringing,crouching
1,cringing,cowardly
0,crippling,adverse
1,crippling,bad
0,crisping,boil
1,crisping,churn
0,crocheting,darning
1,crocheting,embroidery
0,crooning,chanting
1,crooning,carol
0,crosscutting,crisscross
1,crosscutting,cross
0,crossing,bridge
1,crossing,crossroad
0,crouching,cowardly
1,crouching,obsequious
0,crowing,arrogant
1,crowing,bombastic
0,crumpling,break down
1,crumpling,buckle
0,crunching,crumbling
1,crunching,crushing
0,crushing,demanding
1,crushing,difficult
0,crutching,bolster
1,crutching,hold
0,crying,mourning
1,crying,sobbing
0,culling,bounce
1,culling,chuck
0,cunning,Machiavellian
1,cunning,acute
0,cupping,break
1,cupping,chance
0,curbing,
1,curbing,covering up
0,curing,healing
1,curing,sanative
0,curling,corkscrew
1,curling,curly
0,curtaining,cloak
1,curtaining,enclose
0,cutting,acerbic
1,cutting,barbed
0,cycling,pedal
1,cycling,cycle
0,dabbling,green
1,dabbling,rookie
0,dallying,backward
1,dallying,behindhand
0,damning,incriminating
1,damning,damnatory
0,damping,absorb
1,damping,bathe
0,dancing,deferential
1,dancing,inferior
0,dandling,amuse
1,dandling,cosset
0,dangling,drooping
1,dangling,hanging
0,daring,audacious
1,daring,bold
0,darkening,blacken
1,darkening,dim
0,darling,angel
1,darling,baby
0,darning,crocheting
1,darning,embroidery
0,darting,dashing
1,darting,expediting
0,dashing,dapper
1,dashing,debonair
0,dating,carbon-14 dating
1,dating,dendrochronology
0,daubing,dab
1,daubing,deface
0,daunting,alarming
1,daunting,astounding
0,dawdling,afraid
1,dawdling,averse
0,dawning,cockcrow
1,dawning,daybreak
0,dayspring,dawn
1,dayspring,aurora
0,deadening,calming
1,deadening,analgesic
0,deafening,blaring
1,deafening,noisy
0,dealing,business
1,dealing,economics
0,debating,answer
1,debating,bicker
0,deceiving,artful
1,deceiving,deceptive
0,decking,exquisite
1,decking,ornate
0,decreasing,collapsing
1,decreasing,descending
0,deepening,accelerating
1,deepening,escalating
0,deeping,ceaseless
1,deeping,constant
0,defacing,mischief
1,defacing,ravaging
0,defiling,agnostic
1,defiling,apostate
0,degrading,demeaning
1,degrading,derogatory
0,delaying,postponement
1,delaying,putting off
0,delighting,adequate
1,delighting,decent
0,deluding,ambiguous
1,deluding,deceitful
0,demanding,ambitious
1,demanding,critical
0,demurring,afraid
1,demurring,averse
0,depending,conditional
1,depending,reliant
0,depressing,bleak
1,depressing,daunting
0,descending,downward
1,descending,declining
0,deserving,commendable
1,deserving,fitting
0,designing,Machiavellian
1,designing,conniving
0,desolating,bare
1,desolating,bleak
0,despairing,grief-stricken
1,despairing,melancholic
0,desponding,dishearten
1,desponding,sadden
0,devastating,calamitous
1,devastating,destructive
0,deviling,brat
1,deviling,demon
0,devouring,consuming
1,devouring,annihilatory
0,dialing,punch
1,dialing,ring
0,dicing,crumble
1,dicing,grind
0,digging,drilling
1,digging,boring
