,original,synonyms
0,bloodstained,blood-soaked
1,bloodstained,bleeding
0,blotched,dappled
1,blotched,dotted
0,bludgeoned,alarm
1,bludgeoned,appall
0,blurred,cloudy
1,blurred,dim
0,blurt,exclaim
1,blurt,babble
0,bobbed,coiffed
1,bobbed,cropped
0,bobsled,luge
1,bobsled,dogsled
0,boiled,baked
1,boiled,broiled
0,bold,adventurous
1,bold,audacious
0,bombed,buzzed
1,bombed,faced
0,bombsight,gunsight
1,bombsight,periscope
0,bonded,secured
1,bonded,certified
0,boned,afflict
1,boned,annoy
0,boneheaded,dense
1,boneheaded,dimwitted
0,booked,contracted
1,booked,engaged
0,booted,footwear
1,booted,brogan
0,boozed,buzzed
1,boozed,faced
0,bordered,belted
1,bordered,surrounded
0,bossed,capital
1,bossed,champion
0,botched,broken
1,botched,cracked
0,botryose,aciniform
1,botryose,racemose
0,bottled,conserved
1,bottled,kept
0,bottomed,hang
1,bottomed,lie
0,bought,acquired
1,bought,procured
0,bounded,belted
1,bounded,bordered
0,bowed,curved
1,bowed,rounded
0,boweled,decimate
1,boweled,empty
0,braced,fast
1,braced,robust
0,braided,bunched
1,braided,clustered
0,brambled,bobble
1,brambled,bungle
0,branched,cleft
1,branched,prorated
0,branded,charred
1,branded,scorched
0,brazenfaced,audacious
1,brazenfaced,barefaced
0,breathed,exhale
1,breathed,inhale
0,brew,beverage
1,brew,blend
0,bridled,abstinent
1,bridled,ascetic
0,bright,blazing
1,bright,brilliant
0,brimmed,fill
1,brimmed,fill up
0,bristled,bridle
1,bristled,fume
0,broke,bankrupt
1,broke,destitute
0,bronzed,blooming
1,bronzed,blowsy
0,brooked,beck
1,brooked,branch
0,brought,bear
1,brought,carry
0,brushed,coated
1,brushed,stuffed
0,bucked,animated
1,bucked,bright
0,buckled,awry
1,buckled,off-center
0,buffed,blonde
1,buffed,canary
0,bulked,brew
1,bulked,come on
0,bulldogged,constant
1,bulldogged,continual
0,bullheaded,headstrong
1,bullheaded,obstinate
0,bummed,afflicted
1,bummed,ailing
0,bunted,butt
1,bunted,meet
0,buried,covered
1,buried,hidden
0,burned,charred
1,burned,scorched
0,burred,boycott
1,burred,disregard
0,bushed,beat
1,bushed,fatigued
0,busied,attend
1,busied,employ
0,busted,bankrupt
1,busted,destitute
0,bustled,commotion
1,bustled,hubbub
0,buttered,allure
1,buttered,bait
0,butterfingered,inept
1,butterfingered,blundering
0,buttoned,close
1,buttoned,engage
0,cabled,circuited
1,cabled,lined
0,cadenced,cadent
1,cadenced,measured
0,caged,enslaved
1,caged,imprisoned
0,calcified,caked
1,calcified,cemented
0,calcined,blaze
1,calcined,char
0,calculated,determined
1,calculated,computed
0,came,arose
1,came,
0,cankered,blight
1,cankered,corrosion
0,canned,bottled
1,canned,conserved
0,canted,absurd
1,canted,askance
0,cantoned,abide
1,cantoned,reside
0,capped,camouflaged
1,capped,closed
0,carded,announce
1,carded,argue
0,careworn,lean
1,careworn,pale
0,carried,borne
1,carried,drifting
0,cased,bag
1,cased,baggage
0,cassonade,carbohydrate
1,cassonade,candy
0,cast,casting
1,cast,ejection
0,castled,swap
1,castled,alternate
0,cataracted,cascade
1,cataracted,discharge
0,catchweed,brier
1,catchweed,burr
0,caught,arrested
1,caught,captured
0,celebrated,acclaimed
1,celebrated,lionized
0,centered,intent
1,centered,lost
0,chained,confined
1,chained,bound
0,chambered,gaping
1,chambered,huge
0,channeled,avenue
1,channeled,carrier
0,channelled,crumpled
1,channelled,creased
0,chapped,crude
1,chapped,grainy
0,chartered,democratic
1,chartered,lawful
0,chattiness,garrulousness
1,chattiness,glibness
0,checked,late
1,checked,sluggish
0,checkered,diversified
1,checkered,motley
0,cheered,renowned
1,cheered,extolled
0,chickenhearted,chicken
1,chickenhearted,craven
0,chilled,bitter
1,chilled,bleak
0,chinned,articulate
1,chinned,assert
0,chipped,chop
1,chipped,crack
0,chiseled,engraved
1,chiseled,sculpted
0,choke,clog
1,choke,congest
0,chopped,cleave
1,chopped,cube
0,chose,accept
1,chose,adopt
0,christened,labeled
1,christened,termed
0,circled,encircle
1,circled,rotate
0,circumscribed,belted
1,circumscribed,bordered
0,circumstanced,break
1,circumstanced,chance
0,cisterna,pond
1,cisterna,tank
0,clammed,cut off
1,clammed,gag
0,clank,bang
1,clank,bong
0,clapped,applause
1,clapped,bang
0,clawed,fingernail
1,clawed,paw
0,cleanhanded,honest
1,cleanhanded,legitimate
0,clearheaded,composed
1,clearheaded,perceptive
0,cloaked,veiled
1,cloaked,occult
0,clocked,audit
1,clocked,check out
0,cloistered,reclusive
1,cloistered,sheltered
0,closed,bankrupt
1,closed,locked
0,closehanded,cheap
1,closehanded,hard-fisted
0,clouded,concerned
1,clouded,troubled
0,clouted,influence
1,clouted,prestige
0,clustered,amassed
1,clustered,assorted
0,cobbed,beat
1,cobbed,clinch
0,cockeyed,absurd
1,cockeyed,askance
0,cockled,crinkle
1,cockled,cockle
0,cocklight,dawning
1,cocklight,aurora
0,coiled,helicoid
1,coiled,tortile
0,coke,graphite
1,coke,soot
0,cold,bitter
1,cold,bleak
0,coldhearted,crass
1,coldhearted,heartless
0,collared,choker
1,collared,Vandyke
0,collected,cool
1,collected,poised
0,colored,dyed
1,colored,flushed
0,combed,straighten
1,combed,adjust
0,compacted,determined
1,compacted,okay
0,complected,cue
1,complected,entwine
0,complicated,arduous
1,complicated,convoluted
0,composed,confident
1,composed,easygoing
0,compressed,solid
1,compressed,tight
0,concealed,buried
1,concealed,camouflaged
0,conceded,acceptable
1,conceded,allowable
0,conceited,arrogant
1,conceited,big-talking
0,concentrated,fixed
1,concentrated,full-bodied
0,concerted,united
1,concerted,combined
0,condemned,convicted
1,condemned,damned
0,condensed,concise
1,condensed,brief
0,coned,cone-shaped
1,coned,tapered
0,confined,circumscribed
1,confined,cramped
0,confirmed,accepted
1,confirmed,proved
0,confounded,confused
1,confounded,perplexed
0,congested,choked
1,congested,crowded
0,conjoined,accessory
1,conjoined,adjuvant
0,conjugated,adjoin
1,conjugated,affix
0,connected,akin
1,connected,associated
0,consecrated,hallowed
1,consecrated,sanctified
0,considered,studied
1,considered,treated
0,contorted,angled
1,contorted,arced
0,contracted,engaged
1,contracted,reserved
0,converted,transformed
1,converted,changed
0,convexed,bend
1,convexed,buckle
0,convinced,indoctrinated
1,convinced,persuaded
0,convoke,assemble
1,convoke,call
0,convoluted,intricate
1,convoluted,labyrinthine
0,coolheaded,balanced
1,coolheaded,dependable
0,copied,duplicated
1,copied,photocopied
0,corded,knit
1,corded,bind
0,corked,bar
1,corked,curb
0,corkscrew,coiled
1,corkscrew,curled
0,cornered,treed
1,cornered,at bay
0,corrected,amended
1,corrected,revised
0,corrupted,depraved
1,corrupted,perverted
0,couched,utter
1,couched,formulate
0,counterstroke,retaliation
1,counterstroke,retribution
0,countrified,agrarian
1,countrified,rural
0,coupled,biformed
1,coupled,binary
0,coursed,career
1,coursed,chase
0,covenanted,compact
1,covenanted,convention
0,covered,camouflaged
1,covered,capped
0,cowhearted,dastardly
1,cowhearted,afraid
0,cowled,capistrate
1,cowled,cucullate
0,crabbed,cross
1,crabbed,bad-tempered
0,crackbrained,deranged
1,crackbrained,hysterical
0,cracked,broken
1,cracked,damaged
0,crackled,sparkle
1,crackled,break
0,cragged,coarse
1,cragged,craggy
0,cramped,crowded
1,cramped,narrow
0,crannied,broken
1,crannied,cloven
0,crazed,demented
1,crazed,deranged
0,crenated,incised
1,crenated,serrate
0,crept,glide
1,crept,inch
0,crested,climax
1,crested,crest
0,cried,break down
1,cried,complain
0,crisped,baked
1,crisped,boiled
0,crooked,curved
1,crooked,curving
0,crossbred,blended
1,crossbred,different
0,crotched,jagged
1,crotched,V-shaped
0,crouched,below
1,crouched,depressed
0,crowded,cramped
1,crowded,full
0,crowned,realized
1,crowned,satisfied
0,crucified,torment
1,crucified,excruciate
0,crumpled,channelled
1,crumpled,creased
0,crushed,bewildered
1,crushed,bugged
0,crutched,bolster
1,crutched,hold
0,cultured,accomplished
1,cultured,civilized
0,curled,corkscrew
1,curled,curling
0,curried,sauce
1,curried,seasoning
0,cursed,accursed
1,cursed,bedeviled
0,curtailed,concise
1,curtailed,fleeting
0,curved,arched
1,curved,crooked
0,cushioned,quilted
1,cushioned,filled
0,cusped,aciculate
1,cusped,aciculated
0,cussed,grumpy
1,cussed,ornery
0,cut,laceration
1,cut,wound
0,damned,darned
1,damned,lousy
0,damped,absorb
1,damped,bathe
0,dang,abhorrent
1,dang,abominable
0,dappled,checkered
1,dappled,discolored
0,darned,confounded
1,darned,irritating
0,dazed,bewildered
1,dazed,disoriented
0,deceased,departed
1,deceased,cold
0,decided,determined
1,decided,distinct
0,decked,decorated
1,decked,embellished
0,declined,fewer
1,declined,lesser
0,decomposed,addled
1,decomposed,ruined
0,decussated,cross
1,decussated,cut across
0,defamed,aggrieved
1,defamed,disgraced
0,defiled,besmirched
1,defiled,cooked
0,defined,authentic
1,defined,careful
0,deformed,awry
1,deformed,bowed
0,deft,adept
1,deft,adroit
0,degraded,debased
1,degraded,depraved
0,dejected,crestfallen
1,dejected,despondent
0,delighted,captivated
1,delighted,charmed
0,demented,deranged
1,demented,hysterical
0,departed,deceased
1,departed,buried
0,deplored,abhor
1,deplored,bemoan
0,depressed,desolate
1,depressed,despondent
0,deserted,barren
1,deserted,derelict
0,desired,applicable
1,desired,apt
0,detached,isolated
1,detached,removed
0,determined,decisive
1,determined,dogged
0,deviled,annoy
1,deviled,badger
0,did,accomplish
1,did,achieve
0,diffused,dispersed
1,diffused,distributed
0,digested,absorb
1,digested,consume
0,dignified,courtly
1,dignified,distinguished
0,dilapidated,battered
1,dilapidated,broken-down
0,dilated,expanded
1,dilated,extended
0,diluted,adulterated
1,diluted,cut
0,dimmed,bland
1,dimmed,comfortable
0,dipped,soaked
1,dipped,bathed
0,disaffected,rebellious
1,disaffected,discontented
0,disagreed,clash
1,disagreed,contradict
0,disappointed,balked
1,disappointed,beaten
0,disarmed,handicapped
1,disarmed,infirm
0,discalced,barefooted
1,discalced,discalceate
0,discolored,checkered
1,discolored,flecked
0,discomposed,agitated
1,discomposed,anxious
0,disconcerted,annoyed
1,disconcerted,bewildered
0,disconnected,detached
1,disconnected,muddled
0,discontented,bitching
1,discontented,blue
0,discovered,detected
1,discovered,disclosed
0,diseased,afflicted
1,diseased,ailing
0,disengaged,disjoined
1,disengaged,free
0,dished,babble
1,dished,blab
0,disheveled,bedraggled
1,disheveled,messy
0,disimpassioned,confident
1,disimpassioned,easygoing
0,disinterested,aloof
1,disinterested,casual
0,disjointed,confused
1,disjointed,incoherent
0,dislocated,confused
1,dislocated,deranged
0,dismembered,busted
1,dismembered,collapsed
0,disordered,confused
1,disordered,deranged
0,dispersed,broadcast
1,dispersed,circulated
0,dispirited,crestfallen
1,dispirited,depressed
0,displeased,discontented
1,displeased,disgruntled
0,dispositioned,bias
1,dispositioned,distort
0,disquieted,afraid
1,disquieted,apprehensive
0,dissatisfied,discontented
1,dissatisfied,annoyed
0,dissected,anatomize
1,dissected,cut
0,dissipated,blown
1,dissipated,consumed
0,distasted,despise
1,distasted,detest
0,distempered,aggravate
1,distempered,annoy
0,distinguished,acclaimed
1,distinguished,brilliant
0,distorted,wry
1,distorted,colored
0,distracted,disturbed
1,distracted,panicked
0,distressed,afflicted
1,distressed,agitated
0,distributed,appropriated
1,distributed,assigned
0,disturbed,confused
1,disturbed,disordered
0,diversified,diverse
1,diversified,varied
0,divided,branched
1,divided,cleft
0,doddered,quiver
1,doddered,shiver
0,dogfight,action
1,dogfight,altercation
0,dogged,hard-nosed
1,dogged,indefatigable
0,doggoned,dang
1,doggoned,doggone
0,donated,as a perk
1,donated,chargeless
0,dose,application
1,dose,dosage
0,dotted,stippled
1,dotted,punctate
0,doubled,double
1,doubled,binate
0,dovetailed,coincide
1,dovetailed,conform
0,dozed,catnap
1,dozed,drowse
0,dragged,crestfallen
1,dragged,despondent
0,drained,depleted
1,drained,weary
0,dratted,abhorrent
1,dratted,abominable
0,drearisome,austere
1,drearisome,black
0,drew,attract
1,drew,bring
0,drove,collection
1,drove,company
0,dwelled,bide
1,dwelled,exist
0,elated,delighted
1,elated,ecstatic
0,elbowed,joint
1,elbowed,angle
0,eldership,preference
1,eldership,advantage
0,elevated,exalted
1,elevated,inflated
0,elongated,stretched
1,elongated,expanded
0,embarrassed,ashamed
1,embarrassed,abashed
0,embattled,beset
1,embattled,crenelated
0,embed,bury
1,embed,enclose
0,embowed,curved
1,embowed,domed
0,enamored,captivated
1,enamored,enchanted
0,endeared,admired
1,endeared,cherished
0,ended,completed
1,ended,concluded
0,endorsed,approved
1,endorsed,backed
0,enfilade,blast
1,enfilade,bombardment
0,enfold,cinch
1,enfold,clasp
0,enforced,imposed
1,enforced,prescribed
0,engaged,committed
1,engaged,hooked
0,engrossed,absorbed
1,engrossed,captivated
0,enhanced,decorated
1,enhanced,embellished
0,enjoyer,buyer
1,enjoyer,customer
0,enlarged,expanded
1,enlarged,extended
0,enlisted,drafted
1,enlisted,commissioned
0,ennead,
1,ennead,
0,enraged,angry
1,enraged,exasperated
0,enrolled,commissioned
1,enrolled,enlisted
0,entangled,arrested
1,entangled,captured
0,enthusiast,addict
1,enthusiast,admirer
0,envied,begrudge
1,envied,covet
0,erased,buried
1,erased,deceased
0,eroded,powdery
1,eroded,soft
0,esplanade,avenue
1,esplanade,boardwalk
0,evenhanded,balanced
1,evenhanded,equitable
0,evoke,arouse
1,evoke,conjure
