Column1,word,type,v1,v2,v3,v4,v5,반의어,v6,동의어
0,Aani,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
1,Aaron,NNP,"  [성서] 아론 ((모세의 형, 유대 최초의 제사장))  ","[성서] 아론 ((모세의 형, 유대 최초의 제사장))  ","[성서] 아론 ((모세의 형, 유대 최초의 제사장))  ","[성서] 아론 ((모세의 형, 유대 최초의 제사장))  ", 아론 ,, 아론 ,NaN
2,Aaronic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3,Aaronical,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
4,Aaronite,NNP,"  아론의 자손 , 레위의 자손.  ","아론의 자손 , 레위의 자손.  ","아론의 자손 , 레위의 자손.  ","아론의 자손 , 레위의 자손.  ","아론의 자손 , 레위의 자손.",,"아론의 자손 , 레위의 자손.",NaN
5,Aaronitic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
6,Aaru,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
7,Ab,NNP,"  아브 ((유대력의 5월, 그레고리오력의 7-8월에 해당))  ","아브 ((유대력의 5월, 그레고리오력의 7-8월에 해당))  ","아브 ((유대력의 5월, 그레고리오력의 7-8월에 해당))  ","아브 ((유대력의 5월, 그레고리오력의 7-8월에 해당))  ",아브 ,,아브 ,NaN
8,Ababdeh,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
9,Ababua,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
10,Abadite,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
11,Abama,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
12,Abanic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
13,Abantes,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
14,Abarambo,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
15,Abaris,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
16,Abasgi,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
17,Abassin,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
18,Abatua,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
19,Abba,NNP,"  [성서] 아바, 하나님 아버지 ((마가복음 14:36)); [a~] 사부(師父) ((수도원장 등))  ","[성서] 아바, 하나님 아버지 ((마가복음 14:36)); [a~] 사부(師父) ((수도원장 등))  ","[성서] 아바, 하나님 아버지 ((마가복음 14:36)); [a~] 사부(師父) ((수도원장 등))  ","[성서] 아바, 하나님 아버지 ((마가복음 14:36)); [a~] 사부(師父) ((수도원장 등))  "," 아바, 하나님 아버지 ",," 아바, 하나님 아버지 ",cleric
20,Abbadide,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
21,Abbasside,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
22,Abbie,NNP,"  애비(여자 이름, Abigail의 애칭). (또는 Abby)  ","애비(여자 이름, Abigail의 애칭). (또는 Abby)  ","애비(여자 이름, Abigail의 애칭). (또는 Abby)  ","애비(여자 이름, Abigail의 애칭). (또는 Abby)  ",애비,,애비,NaN
23,Abby,NNP,"  애비(여자 이름, Abigail의 애칭).  ","애비(여자 이름, Abigail의 애칭).  ","애비(여자 이름, Abigail의 애칭).  ","애비(여자 이름, Abigail의 애칭).  ",애비.,,애비.,NaN
24,Abderian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
25,Abderite,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
26,Abdiel,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
27,Abdominales,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
28,Abe,NNP,  남자 이름 ((Abra(ha)m의 애칭))  ,남자 이름 ((Abra(ha)m의 애칭))  ,남자 이름 ((Abra(ha)m의 애칭))  ,남자 이름 ((Abra(ha)m의 애칭))  ,남자 이름 ,,남자 이름 ,NaN
29,Abelia,NNP,[식물]  댕강나무속(屬)(A~)의 각종의 관목.  ,  댕강나무속(屬)(A~)의 각종의 관목,  댕강나무속(屬)(A~)의 각종의 관목,  댕강나무속(屬)(A~)의 각종의 관목,댕강나무속의 각종의 관목,,댕강나무속의 각종의 관목,NaN
30,Abelian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
31,Abelicea,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
32,Abelite,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
33,Abelmoschus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
34,Abelonian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
35,Abencerrages,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
36,Aberdonian,NNP,  (스코틀랜드의) 애버딘 사람  ,(스코틀랜드의) 애버딘 사람  ,(스코틀랜드의) 애버딘 사람  ,(스코틀랜드의) 애버딘 사람  , 애버딘 사람,, 애버딘 사람,NaN
37,Aberia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
38,Abhorson,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
39,Abie,NNP,  남자 이름 ((Abraham의 애칭))  ,남자 이름 ((Abraham의 애칭))  ,남자 이름 ((Abraham의 애칭))  ,남자 이름 ((Abraham의 애칭))  ,남자 이름 ,,남자 이름 ,NaN
40,Abies,NNP,[식물]  침엽수  ,  침엽수  ,  침엽수  ,  침엽수  ,침엽수,,침엽수,NaN
41,Abietineae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
42,Abiezer,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
43,Abipon,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
44,Abitibi,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
45,Abkhas,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
46,Abkhasian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
47,Ablepharus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
48,Abnaki,NNP,"  아브나키족(族)((Algonquian 계 부족에 속하는 북미 인디언의 한 종족)) , 아브나키어(語).  ",Longer,Longer,Longer,Longer,,Longer,NaN
49,Abner,NNP,  남자 이름.  ,남자 이름.  ,남자 이름.  ,남자 이름.  ,남자 이름.,,남자 이름.,NaN
50,Abo,NNP,[호주 영어 금기어 비격식]  Aborigine (오스트레일리아 원주민)을 가리키는 심한 비어  ,  Aborigine (오스트레일리아 원주민)을 가리키는 심한 비어  ,  Aborigine (오스트레일리아 원주민)을 가리키는 심한 비어  ,  Aborigine (오스트레일리아 원주민)을 가리키는 심한 비어  ,Aborigine 을 가리키는 심한 비어,,Aborigine 을 가리키는 심한 비어,NaN
51,Abongo,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
52,Abrahamic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
53,Abrahamidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
54,Abrahamite,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
55,Abrahamitic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
56,Abramis,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
57,Abranchiata,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
58,Abrocoma,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
59,Abroma,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
60,Abronia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
61,Abrus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
62,Absalom,NNP,"  [성서] 압살롬 ((유대왕 다윗이 총애한 아들, 부왕에게 거역하여 죽게 됨, 사무엘 하 13-18))      2.    ",Longer,Longer,Longer,Longer,,Longer,NaN
63,Absaroka,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
64,Absi,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
65,Absyrtus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
66,Abu,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
67,Abundantia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
68,Abuta,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
69,Abutilon,NNP,[식물]  어저귀속(屬)의 식물  ,  어저귀속(屬)의 식물  ,  어저귀속(屬)의 식물  ,  어저귀속(屬)의 식물  ,어저귀속의 식물,,어저귀속의 식물,NaN
70,Abyssinian,NNP,"  아비시니아 사람, [U] 아비시니아 말  ","아비시니아 사람, [U] 아비시니아 말  ","아비시니아 사람, [U] 아비시니아 말  ","아비시니아 사람, [U] 아비시니아 말  ","아비시니아 사람,  아비시니아 말",,"아비시니아 사람,  아비시니아 말",NaN
71,Acacia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
72,Acacian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
73,Academic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,ordinary,Not nouns,intellectual
74,Acadia,NNP,"  아카디아 ((캐나다의 남동부의 예전 프랑스 식민지, 지금의 Nova Scotia 주(州)를 포함하는 지역))  ",Longer,Longer,Longer,Longer,,Longer,NaN
75,Acadie,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
76,Acaena,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
77,Acalepha,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
78,Acalephae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
79,Acalypha,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
80,Acalypterae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
81,Acalyptrata,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
82,Acalyptratae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
83,Acamar,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
84,Acanthaceae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
85,Acantharia,NNP,[해양과학]  방사극충아강 (放射棘蟲亞綱)  ,  방사극충아강 (放射棘蟲亞綱)  ,  방사극충아강 (放射棘蟲亞綱)  ,  방사극충아강 (放射棘蟲亞綱)  ,방사극충아강 ,,방사극충아강 ,NaN
86,Acanthia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
87,Acanthocephala,NNP,[동물학]  갈고리촌충류  ,  갈고리촌충류  ,  갈고리촌충류  ,  갈고리촌충류  ,갈고리촌충류,,갈고리촌충류,NaN
88,Acanthocephali,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
89,Acanthocereus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
90,Acanthodea,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
91,Acanthodei,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
92,Acanthodes,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
93,Acanthodidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
94,Acanthodii,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
95,Acanthodini,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
96,Acantholimon,NNP,"  갯길경이과(科) 아칸돌리몬속(屬) Acantholimon 상록초 몇몇 종의 총칭, 잎은 딱딱하고 가시가 있다.  ",Longer,Longer,Longer,Longer,,Longer,NaN
97,Acanthomeridae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
98,Acanthopanax,NNP,[생약학]  오가피  ,  오가피  ,  오가피  ,  오가피  ,오가피,,오가피,NaN
99,Acanthophis,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
100,Acanthopteri,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
101,Acanthopterygii,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
102,Acanthuridae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
103,Acanthurus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
104,Acarapis,NNP,[농생물학]  옴 응애  ,  옴 응애  ,  옴 응애  ,  옴 응애  ,옴 응애,,옴 응애,NaN
105,Acarida,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
106,Acaridea,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
107,Acarina,NNP,[농생물학]  응애목  ,  응애목  ,  응애목  ,  응애목  ,응애목,,응애목,NaN
108,Acarus,NNP,[곤충]  진드기  ,  진드기  ,  진드기  ,  진드기  ,진드기,,진드기,NaN
109,Acastus,NNP,"[그리스 신화]  아카스투스: 아르고선(船) 대원(Argonauts)의 한 사람, Pelias의 아들이며 Alcestis의 형제.  ",Longer,Longer,Longer,Longer,,Longer,NaN
110,Aceldama,NNP,"[성서]  아겔다마, 피의 밭 ((예수를 배반한 유다가 자살한 밭))      2.    ","  아겔다마, 피의 밭 ((예수를 배반한 유다가 자살한 밭))      2","  아겔다마, 피의 밭 ((예수를 배반한 유다가 자살한 밭))      2","  아겔다마, 피의 밭 ((예수를 배반한 유다가 자살한 밭))      2","아겔다마, 피의 밭  2",,"아겔다마, 피의 밭  2",NaN
111,Acemetae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
112,Acemetic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
113,Acephala,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
114,Acephali,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
115,Acephalina,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
116,Acephalite,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
117,Acer,NNP,  (잎의 모양이나 단풍이 보기 좋아 기르는) 관상수  ,(잎의 모양이나 단풍이 보기 좋아 기르는) 관상수  ,(잎의 모양이나 단풍이 보기 좋아 기르는) 관상수  ,(잎의 모양이나 단풍이 보기 좋아 기르는) 관상수  , 관상수,unskilled, 관상수,distinguished
118,Aceraceae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
119,Acerae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
120,Acerata,NNP,[생명과학]  무각류(無角類)  ,  무각류(無角類)  ,  무각류(無角類)  ,  무각류(無角類)  ,무각류,,무각류,NaN
121,Acerates,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
122,Aceratherium,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
123,Acestes,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
124,Acetabularia,NNP,[농업]  아세타불라리아속(屬)  ,  아세타불라리아속(屬)  ,  아세타불라리아속(屬)  ,  아세타불라리아속(屬)  ,아세타불라리아속,,아세타불라리아속,NaN
125,Acetobacter,NNP,[세균]  초산균  ,  초산균  ,  초산균  ,  초산균  ,초산균,,초산균,NaN
126,Achaean,NNP,"  아카이아 사람, 그리스 사람(Greek)  ","아카이아 사람, 그리스 사람(Greek)  ","아카이아 사람, 그리스 사람(Greek)  ","아카이아 사람, 그리스 사람(Greek)  ","아카이아 사람, 그리스 사람",,"아카이아 사람, 그리스 사람",NaN
127,Achaemenian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
128,Achaemenid,NNP,"  (Achaemenids, Achaemenidae, Achaemenides) 아케메네스(아카이메네스) 왕[조]: 기원전 550년경부터 기원전 331년경까지 통치한 고대 페르시아의 왕[조].  ",Longer,Longer,Longer,Longer,,Longer,NaN
129,Achaemenidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
130,Achaemenidian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
131,Achaenodon,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
132,Achaeta,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
133,Achagua,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
134,Achakzai,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
135,Achamoth,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
136,Achango,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
137,Achariaceae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
138,Achariaceous,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
139,Achates,NNP,[그리스·로마신화]  아카테스 ((Virgil 작 Aeneid 중의 인물))      2.    ,  아카테스 ((Virgil 작 Aeneid 중의 인물))      2,  아카테스 ((Virgil 작 Aeneid 중의 인물))      2,  아카테스 ((Virgil 작 Aeneid 중의 인물))      2,아카테스  2,,아카테스  2,NaN
140,Achatina,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
141,Achatinella,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
142,Achatinidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
143,Achen,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
144,Achernar,NNP,[천문]  아케르나르 ((에리다누스(Eridanus)자리의 1등성))  ,  아케르나르 ((에리다누스(Eridanus)자리의 1등성))  ,  아케르나르 ((에리다누스(Eridanus)자리의 1등성))  ,  아케르나르 ((에리다누스(Eridanus)자리의 1등성))  ,아케르나르 ,,아케르나르 ,NaN
145,Acheronian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,cheerful,Not nouns,forlorn
146,Acherontic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,cheerful,Not nouns,discouraging
147,Acherontical,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
148,Achetidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
149,Acheulean,NNP,  아슐 문화  ,아슐 문화  ,아슐 문화  ,아슐 문화  ,아슐 문화,,아슐 문화,NaN
150,Achillea,NNP,"  국화과(科) 톱풀속(屬) Achillea의 식물: 톱니 모양의, 또는 깊이 갈라진 잎과 위가 평평한 꽃송이가 달린다; 서양가새풀(yarrow)·자주 톱풀(sneezewort) 따위가 이에 속한다.  ",Longer,Longer,Longer,Longer,,Longer,NaN
151,Achillean,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
152,Achilleid,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
153,Achillize,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
154,Achimenes,NNP,"  아키메네스: Generiaceae과(科) 아키메네스속(屬) Achimenes 초본의 총칭; 화려한 통 모양의 꽃이 피며, 관상용으로 재배된다; 열대 아메리카산(産).  ",Longer,Longer,Longer,Longer,,Longer,NaN
155,Achinese,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
156,Achitophel,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
157,Achlamydeae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
158,Achmetha,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
159,Acholoe,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
160,Achomawi,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
161,Achordata,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
162,Achorion,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
163,Achras,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
164,Achroanthes,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
165,Achromatiaceae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
166,Achromatium,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
167,Achromobacter,NNP,"[세균]  아크로모백터, 색소 비생산균: Achromobacter속(屬) 간균(桿菌)의 총칭; 토양이나 물속에서 발견된다.  ",Longer,Longer,Longer,Longer,,Longer,NaN
168,Achromobacterieae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
169,Achuas,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
170,Achyranthes,NNP,[생약학]  우슬  ,  우슬  ,  우슬  ,  우슬  ,우슬,,우슬,NaN
171,Achyrodes,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
172,Acidaspis,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
173,Acieral,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
174,Acilius,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
175,Acineta,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
176,Acinetae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
177,Acinetaria,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
178,Acinetina,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
179,Acipenser,NNP,[수산학]  철갑상어류  ,  철갑상어류  ,  철갑상어류  ,  철갑상어류  ,철갑상어류,,철갑상어류,NaN
180,Acipenseres,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
181,Acipenseridae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
182,Acipenseroidei,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
183,Aclemon,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
184,Acmaea,NNP,[지질학]  번성기(繁盛期)  ,  번성기(繁盛期)  ,  번성기(繁盛期)  ,  번성기(繁盛期)  ,번성기,,번성기,NaN
185,Acmaeidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
186,Acmispon,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
187,Acnida,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
188,Acocanthera,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
189,Acoela,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
190,Acoelomata,NNP,[해양과학]  무체강동물 (無體腔動物)  ,  무체강동물 (無體腔動物)  ,  무체강동물 (無體腔動物)  ,  무체강동물 (無體腔動物)  ,무체강동물 ,,무체강동물 ,NaN
191,Acoelomi,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
192,Acoemetae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
193,Acoemeti,NNP,"[동방교회]  아코이메타이파(派): 5, 6세기의 수도사 또는 수녀의 일단(一團); 특히 주야를 가리지 않고 기도를 올린 것으로 유명.  ",Longer,Longer,Longer,Longer,,Longer,NaN
194,Acoemetic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
195,Acolapissa,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
196,Acolhua,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
197,Acolhuan,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
198,Acoma,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
199,Aconitum,NNP,"[식물]  민박꽃속(屬)(A~)의 각종의 숙근초(宿根草), 아코닛 ; 아코닛 뿌리(= ACONITE).  ","  민박꽃속(屬)(A~)의 각종의 숙근초(宿根草), 아코닛 ; 아코닛 뿌리(= ACONITE)","  민박꽃속(屬)(A~)의 각종의 숙근초(宿根草), 아코닛 ; 아코닛 뿌리(= ACONITE)","  민박꽃속(屬)(A~)의 각종의 숙근초(宿根草), 아코닛 ; 아코닛 뿌리(= ACONITE)",민박꽃속,,민박꽃속,NaN
200,Acontias,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
201,Acontius,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
202,Acorus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
203,Acousticon,NNP,  보청기 ((상표명))  ,보청기 ((상표명))  ,보청기 ((상표명))  ,보청기 ((상표명))  ,보청기 ,,보청기 ,NaN
204,Acrab,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
