Column1,word,type,v1,v2,v3,v4,v5,반의어,v6,동의어
3249,Bosnian,NNP,"  보스니아 사람, [U] 보스니아 말  ","보스니아 사람, [U] 보스니아 말  ","보스니아 사람, [U] 보스니아 말  ","보스니아 사람, [U] 보스니아 말  ","보스니아 사람,  보스니아 말",,"보스니아 사람,  보스니아 말",NaN
3250,Bosnisch,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3251,Bosporan,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3252,Bosporanic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3253,Bosporian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3254,Boston,NNP,"  보스턴 ((미국 Massachusetts 주의 주도; 속칭 the Puritan City, the Bean Town))      2.    ",Longer,Longer,Longer,Longer,,Longer,Athens of America
3255,Bostonese,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3256,Bostonian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3257,Bostrychidae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3258,Boswellia,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3259,Boswellian,NNP,  보즈웰 연구[숭배]자  ,보즈웰 연구[숭배]자  ,보즈웰 연구[숭배]자  ,보즈웰 연구[숭배]자  ,보즈웰 연구자,,보즈웰 연구자,NaN
3260,Boswelliana,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3261,Boswellism,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3262,Boswellize,NNP,  (기사 따위를) 보스웰식으로 상세하게 기술하다. 보스웰식으로 상세하게 기사를 쓰다.  ,(기사 따위를) 보스웰식으로 상세하게 기술하다. 보스웰식으로 상세하게 기사를 쓰다.  ,(기사 따위를) 보스웰식으로 상세하게 기술하다. 보스웰식으로 상세하게 기사를 쓰다.  ,(기사 따위를) 보스웰식으로 상세하게 기술하다. 보스웰식으로 상세하게 기사를 쓰다.  , 보스웰식으로 상세하게 기술하다. 보스웰식으로 상세하게 기사를 쓰다.,, 보스웰식으로 상세하게 기술하다. 보스웰식으로 상세하게 기사를 쓰다.,NaN
3263,Botaurinae,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3264,Botaurus,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3265,Botein,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3266,Bothnian,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3267,Bothnic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
